title,type,status,progress_percent,population,region,prefecture,commune,canton,launch_date,work_completion_date,latitude,longitude,source
Réalisation d’un forage photovoltaïque pour eau de boisson dans le quartier Peuhl,Forages photovoltaïques dans les communautés pour eau de boisson,Remise de l'ouvrage à la communauté 100.0%,100.0,939.0,Kara,Binah,Binah 1,Pagouda,2023-07-17,2023-12-31,9.724313,1.35165,COSO
Réalisation d’un forage photovoltaïque pour eau de boisson dans le quartier Peuhl,Forages photovoltaïques dans les communautés pour eau de boisson,Remise de l'ouvrage à la communauté 100.0%,100.0,2007.0,Kara,Binah,Binah 2,Kémérida,2023-07-17,2023-11-22,9.671325,1.357624,COSO
Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Remise de l'ouvrage à la communauté 100.0%,100.0,517.0,Savanes,Cinkassé,Cinkassé 1,Boadé,2023-03-22,2023-08-29,11.10989,-0.081831,COSO
Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Remise de l'ouvrage à la communauté 100.0%,100.0,484.0,Savanes,Cinkassé,Cinkassé 1,Noaga,2023-03-22,2023-08-17,11.099809,-0.067271,COSO
Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Remise de l'ouvrage à la communauté 100.0%,100.0,1103.0,Savanes,Cinkassé,Cinkassé 1,Boadé,2023-03-24,2023-08-17,11.116633,-0.03386,COSO
Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Réception définitive 100.0%,100.0,539.0,Savanes,Cinkassé,Cinkassé 1,Noaga,2023-03-22,2023-08-17,11.089657,-0.066757,COSO
Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Remise de l'ouvrage à la communauté 100.0%,100.0,1821.0,Savanes,Cinkassé,Cinkassé 1,Boadé,2023-03-30,2023-08-29,11.125808,-0.08592,COSO
Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Réception définitive 100.0%,100.0,589.0,Savanes,Cinkassé,Cinkassé 1,Boadé,2023-03-22,2023-08-18,11.081848,0.015431,COSO
Réalisation d'un forage photovoltaïque,Forages photovoltaïques dans les communautés pour eau de boisson,Remise de l'ouvrage à la communauté 100.0%,100.0,362.0,Savanes,Cinkassé,Cinkassé 1,Boadé,2023-03-22,2023-11-02,11.10398,0.042313,COSO
Réalisation d'un forage photovoltaïque,Forages photovoltaïques dans les communautés pour eau de boisson,Réception définitive 100.0%,100.0,10152.0,Savanes,Cinkassé,Cinkassé 1,Boadé,2023-03-22,2023-08-23,11.07053,0.019593,COSO
Réalisation d'un forage photovoltaïque,Forages photovoltaïques dans les communautés pour eau de boisson,Réception définitive 100.0%,100.0,1682.0,Savanes,Cinkassé,Cinkassé 1,Boadé,2023-03-22,2023-08-23,11.083669,0.031963,COSO
Réalisation d'un forage photovoltaïque,Forages photovoltaïques dans les communautés pour eau de boisson,Remise de l'ouvrage à la communauté 100.0%,100.0,854.0,Savanes,Cinkassé,Cinkassé 1,Boadé,2023-03-22,2023-05-19,11.098188,0.036734,COSO
Réalisation d'un forage photovoltaïque maraicher,Forages photovoltaïques pour les activités maraîchères,Réception définitive 100.0%,100.0,650.0,Savanes,Cinkassé,Cinkassé 1,Boadé,2023-03-16,2023-04-18,11.1176724,-0.081247,COSO
Construction d'un centre communautaire avec charpente métallique + forage photovoltaïque à GNOAGA CENTRE,Forage Photovoltaïque (Centre communautaire),Réception définitive 100.0%,100.0,593.0,Savanes,Cinkassé,Cinkassé 1,Boadé,2023-03-22,2023-08-30,11.105457,-0.103617,COSO
Réalisation d'un forage photovoltaïque maraicher,Forages photovoltaïques pour les activités maraîchères,Réception définitive 100.0%,100.0,271.0,Savanes,Cinkassé,Cinkassé 1,Noaga,2023-01-30,2023-03-09,11.099301,-0.10443,COSO
Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Réception définitive 100.0%,100.0,900.0,Savanes,Cinkassé,Cinkassé 1,Gouloungoussi,2023-03-22,2023-09-14,11.139244,-0.113093,COSO
Construction d'un centre communautaire avec charpente métallique + forage photovoltaïque à KOULTAMSÉ,Forage Photovoltaïque (Centre communautaire),Remise de l'ouvrage à la communauté 100.0%,100.0,654.0,Savanes,Cinkassé,Cinkassé 1,Gouloungoussi,2023-03-22,2023-08-04,11.125092,-0.110754,COSO
Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Réception définitive 100.0%,100.0,329.0,Savanes,Cinkassé,Cinkassé 1,Gouloungoussi,2023-04-05,2023-11-17,11.125092,-0.110754,COSO
Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Réception définitive 100.0%,100.0,341.0,Savanes,Cinkassé,Cinkassé 1,Gouloungoussi,2023-03-22,2023-08-16,11.106438,-0.112391,COSO
Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Réception définitive 100.0%,100.0,456.0,Savanes,Cinkassé,Cinkassé 1,Gouloungoussi,2023-04-05,2023-11-17,11.110269,-0.127504,COSO
Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Remise de l'ouvrage à la communauté 100.0%,100.0,995.0,Savanes,Cinkassé,Cinkassé 2,Timbou,2023-03-10,2023-11-23,10.989956,0.141467,COSO
Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Remise de l'ouvrage à la communauté 100.0%,100.0,690.0,Savanes,Cinkassé,Cinkassé 2,Biankouri,2023-03-22,2023-08-17,11.033372,0.070502,COSO
Construction d'un bâtiment scolaire de trois classes + bureau et magasin + forage photovoltaïque à EPP Tomole,Forages photovoltaïques dans les établissements scolaires,Réception provisoire 100.0%,0.0,411.0,Savanes,Kpendjal,Kpendjal 1,Koundjoaré,2025-03-20,2025-08-14,10.884821,0.669152,COSO
Construction d’un centre communautaire à Mandouri Centre + forage photovoltaïque,Forage Photovoltaïque (Centre communautaire),Réception définitive 100.0%,0.0,6700.0,Savanes,Kpendjal,Kpendjal 1,Mandouri,2024-01-23,2024-06-19,10.846096,0.817863,COSO
Construction d'un centre communautaire à NALI ANGOH,Forage Photovoltaïque (Centre communautaire),Remise de l'ouvrage à la communauté 100.0%,100.0,942.0,Savanes,Oti-Sud,Oti-Sud 2,Nali,2024-06-06,2024-09-24,10.0454774,0.4536523,COSO
Installation d'un forage photovoltaïque pour le maraichage,Forages photovoltaïques pour les activités maraîchères,Remise de l'ouvrage à la communauté 100.0%,100.0,628.0,Savanes,Oti-Sud,Oti-Sud 1,Tchamonga,2024-06-05,2024-12-30,10.48327,0.7693367,COSO
Installation d'un forage photovoltaïque pour le maraichage,Forages photovoltaïques pour les activités maraîchères,Remise de l'ouvrage à la communauté 100.0%,100.0,2168.0,Savanes,Oti-Sud,Oti-Sud 1,Tchamonga,2024-05-30,2024-12-30,10.4859533,0.7485683,COSO
1-Construction d'un bâtiment scolaire de 3 classes avec bureau et latrines  à l'EPP Nakpabak B (lieu-dit Sibiogue): sous projet porté par le CVD DE Sibiogue et soutenu par le CVD de Pokenyète,Forages photovoltaïques dans les établissements scolaires,Réception définitive 100.0%,0.0,600.0,Savanes,Tandjoaré,Tandjoaré 2,Sissiak,2024-05-31,2024-08-26,10.771387,0.091253,COSO
"construction et équipement d'un batiment scolaire de 4 classes avec bureau, latrines et forage au CEG Kpinkparbagou",Forages photovoltaïques dans les établissements scolaires,Réception définitive 100.0%,0.0,1191.0,Savanes,Tandjoaré,Tandjoaré 2,Tampialime,2024-05-31,2024-09-23,10.76495,-0.035277,COSO
Construction d'une forage photovoltaïque pour le marâichage et équipements maraîchers,Forages photovoltaïques pour les activités maraîchères,Réception provisoire 100.0%,0.0,1300.0,Savanes,Tône,Tône 3,Lotogou,2024-05-20,2024-10-10,10.77684,0.052255,COSO
Appui à la réalisation d'un forage photovoltaïque pour maraîchage,Forages photovoltaïques pour les activités maraîchères,Réception définitive 100.0%,0.0,259.0,Savanes,Tandjoaré,Tandjoaré 2,Tampialime,2024-05-25,2024-08-26,10.7588133,-0.0154217,COSO
Appui à la réalisation d'un forage photovoltaïque pour maraîchage,Forages photovoltaïques pour les activités maraîchères,Réception définitive 100.0%,0.0,926.0,Savanes,Tandjoaré,Tandjoaré 2,Sissiak,2024-05-20,2024-11-01,10.780718,0.127192,COSO
Appui à la réalisation d'un forage photovoltaïque équipé d'un système de pompage pour maraîchage et l'abreuvement des animaux,Forages photovoltaïques pour les activités maraîchères,Réception définitive 100.0%,0.0,735.0,Savanes,Tandjoaré,Tandjoaré 2,Tampialime,2024-06-03,2024-08-26,10.7307983,-0.0069233,COSO
Contruction de Batiment scolaire de 3 classes équipées+ bureau+mangasin +forage à EPP Magna,Forages photovoltaïques dans les établissements scolaires,Réception provisoire 100.0%,0.0,1338.0,Savanes,Oti,Oti 1,Mango,2024-06-03,2024-09-25,10.3384158,0.4571656,COSO
Contruction de Batiment scolaire de 3 classes équipées+ bureau+mangasin +forage à EPP Fomboro,Forages photovoltaïques dans les établissements scolaires,Réception technique 100.0%,0.0,3678.0,Savanes,Oti,Oti 1,Mango,2024-06-03,2024-10-02,10.3531358,0.4777628,COSO
Contruction de Batiment scolaire de 3 classes équipées+ bureau+mangasin +forage à EPP DOUANE EST,Forages photovoltaïques dans les établissements scolaires,Réception provisoire 100.0%,0.0,3221.0,Savanes,Oti,Oti 1,Mango,2024-06-13,2024-10-03,10.3392083,0.4729033,COSO
Contruction de Batiment scolaire de 3 classes équipées+ bureau+mangasin +forage à EPP Bendenou,Forages photovoltaïques dans les établissements scolaires,Réception provisoire 100.0%,0.0,2600.0,Savanes,Oti,Oti 1,Mango,2024-06-03,2024-11-12,10.3644199,0.4783607,COSO
Construction de salle de réunion,Forage Photovoltaïque (Salle de réunion),Réception technique 100.0%,0.0,666.0,Savanes,Oti,Oti 1,Mango,2024-05-17,2025-01-17,10.32394,0.43644,COSO
Construction d'un batiment scolaire de 3 salles de classe+ bureau+Forage+Bloc sanitaire à l'EPP Gnabadjoani 2,Forages photovoltaïques dans les établissements scolaires,Réception provisoire 100.0%,0.0,1673.0,Savanes,Tône,Tône 2,Naki-Ouest,2024-05-20,2024-10-22,10.966555,0.13158,COSO
Réalisation d'un forage maraicher dans le bas-fond de Yobre 1 ,Forages photovoltaïques pour les activités maraîchères,Réception définitive 100.0%,0.0,1497.0,Savanes,Tône,Tône 2,Naki-Ouest,2024-06-24,2024-08-18,10.938128,0.094391,COSO
Réalisation d'un forage photovoltaique pour le maraichage,Forages photovoltaïques pour les activités maraîchères,Réception provisoire 100.0%,0.0,133.0,Savanes,Oti-Sud,Oti-Sud 2,Takpamba,2024-06-09,2025-04-18,10.01441,0.5215,COSO
Réalisation du forage photovoltaique pour le maraichage,Forages photovoltaïques pour les activités maraîchères,Réception provisoire 100.0%,0.0,235.0,Kara,Dankpen,Dankpen 1,Naompoch,2024-05-21,2024-10-03,9.844028,0.704147,COSO
Réalisation du forage photovoltaique pour le maraichage,Forages photovoltaïques pour les activités maraîchères,Réception définitive 100.0%,0.0,582.0,Savanes,Oti-Sud,Oti-Sud 2,Takpamba,2024-05-21,2024-09-04,9.946635,0.5972867,COSO
Réalisation d'un forage photovoltaïque pour maraîchage,Forages photovoltaïques pour les activités maraîchères,Achevé 100.0%,100.0,1001.0,Savanes,Tône,Tône 3,Tami,,2026-05-29,10.9115583,-0.005415,COSO
Réalisation de forage photovoltaïque pour le  JEP de Nakpanag,Forages photovoltaïques dans les établissements scolaires,Réception provisoire 100.0%,0.0,469.0,Savanes,Tône,Tône 3,Tami,2025-10-10,2026-02-15,10.853297,0.063415,COSO
Construction et équipement d'un centre communautaire ,Forage Photovoltaïque (Centre communautaire),Réception provisoire 100.0%,0.0,3722.0,Savanes,Tône,Tône 3,Lotogou,2024-11-17,2025-04-01,10.798171,0.025296,COSO
Réalisation  d'un forage photovoltaique pour le maraichage ,Forages photovoltaïques pour les activités maraîchères,Achevé 100.0%,0.0,161.0,Savanes,Tandjoaré,Tandjoaré 2,Doukpergou,2025-10-27,2026-03-17,10.6417033,0.0908567,COSO
Réalissation d'un forage photovoltaïque maraicher,Forages photovoltaïques pour les activités maraîchères,Réception provisoire 100.0%,100.0,976.0,Savanes,Tône,Tône 2,Naki-Ouest,2025-05-20,2025-09-21,10.9534483,-0.0034733,COSO
Réalissation d'un forage photovoltaïque maraicher,Forages photovoltaïques pour les activités maraîchères,Réception provisoire 100.0%,0.0,1106.0,Savanes,Tône,Tône 2,Naki-Ouest,2025-05-20,2025-09-21,10.9422383,0.0246017,COSO
Réalissation d'un forage photovoltaïque maraicher,Forages photovoltaïques pour les activités maraîchères,Réception provisoire 100.0%,0.0,894.0,Savanes,Tône,Tône 2,Naki-Ouest,2025-04-03,2025-09-21,10.933573,0.068247,COSO
Réalissation d'un forage photovoltaïque maraicher,Forages photovoltaïques pour les activités maraîchères,Réception provisoire 100.0%,0.0,1312.0,Savanes,Tône,Tône 2,Naki-Ouest,2025-05-20,2025-12-16,10.893852,0.061661,COSO
Réalissation d'un forage photovoltaïque maraicher,Forages photovoltaïques pour les activités maraîchères,Réception provisoire 100.0%,0.0,1096.0,Savanes,Tône,Tône 2,Naki-Ouest,2025-04-14,2025-09-15,10.934593,0.11905,COSO
"Construction d'un batiment scolaire de trois classes,bureau,magasin  + forage ",Forages photovoltaïques dans les établissements scolaires,Réception provisoire 100.0%,0.0,1749.0,Savanes,Tandjoaré,Tandjoaré 1,Tamongue,2025-03-22,2025-07-11,10.4833243,0.2093732,COSO
construcion d'un centre communautaire,Forage Photovoltaïque (Centre communautaire),Réception provisoire 100.0%,0.0,519.0,Savanes,Oti,Oti 2,Galangashie,2025-01-20,2025-09-08,10.5348583,0.32996,COSO
Construction et équipement d'un batiment scolaire + forage pour le jardin d'enfants JEP de Djé-Djabou,Forages photovoltaïques dans les établissements scolaires,Réception définitive 100.0%,0.0,1987.0,Savanes,Oti-Sud,Oti-Sud 1,Gando,2024-10-17,2025-01-28,10.3179254,0.7220782,COSO
Réalisation d'un forage photovoltaique pour le maraichage et abreuvement des animaux,Forages photovoltaïques pour les activités maraîchères,Réception provisoire 100.0%,100.0,564.0,Savanes,Oti-Sud,Oti-Sud 1,Gando,2025-05-21,2025-08-28,10.2540124,0.7433078,COSO
Réalisation d'un forage photovoltaique pour le maraichage,Forages photovoltaïques pour les activités maraîchères,Réception provisoire 100.0%,100.0,450.0,Savanes,Oti-Sud,Oti-Sud 1,Gando,,2026-04-01,10.3497677,0.8183641,COSO
Réhabilitation du Marché de NAMARE,Forages photovoltaïques dans les marchés pour eau de boisson,Achevé 100.0%,,,Savanes,Tône,Tône 2,Nanergou,2025-12-05,2025-12-31,10.936937,0.146811,COSO
Réhabilitation du Marché de TAMI,Forages photovoltaïques dans les marchés pour eau de boisson,En cours,,,Savanes,Tône,Tône 3,Tami,2026-01-12,2025-06-28,10.858083,0.040576,COSO
Réhabilitation du Marché de WARKAMBOU,Forages photovoltaïques dans les marchés pour eau de boisson,Achevé 100.0%,,,Savanes,Tône,Tône 3,Warkambou,,2025-12-31,10.804232,-0.013278,COSO
Réalisation d'un forage photovoltaïque pour le maraîchage,Forages photovoltaïques pour les activités maraîchères,Réception provisoire 100.0%,100.0,2891.0,Savanes,Kpendjal,Kpendjal 1,Koundjoaré,2025-11-12,2026-04-22,10.935298,0.64414,COSO
Réalisation d'une forage photovoltaïque pour eau de boisson en communauté,Forages photovoltaïques dans les communautés pour eau de boisson,Achevé 100.0%,100.0,1382.0,Savanes,Kpendjal,Kpendjal 1,Koundjoaré,2025-07-28,2026-02-15,10.968935,0.786435,COSO
Installation de 10 lampadaires Solaires ,Forages photovoltaïques dans les communautés pour eau de boisson,Réception provisoire 100.0%,,191.0,Savanes,Tandjoaré,Tandjoaré 2,Sangou,2025-10-27,2026-02-02,10.6047967,0.0393583,COSO
Construction d'un bâtiment scolaire de trois classes avec bureau et magasin plus un bloc de latrines à l'EPP Natchare AVEC FORAGE,Forages photovoltaïques dans les communautés pour eau de boisson,Réception provisoire 100.0%,,510.0,Savanes,Tône,Tône 3,Tami,2025-11-17,2025-12-11,10.8657,0.031187,COSO
Réalisation d'un forage photovotaïque pour eau de boisson dans le marché de Kaboli,Forages photovoltaïques dans les marchés pour eau de boisson,Réception provisoire 100.0%,,,Centrale,Tchamba,Tchamba 3,Kaboli,2025-08-11,2026-03-13,8.746372,1.575045,COSO
Réalisation d'un forage photovoltaique AEP,Forages photovoltaïques dans les communautés pour eau de boisson,Remise de l'ouvrage à la communauté 100.0%,100.0,409.0,Savanes,Cinkassé,Cinkassé 1,Boadé,2025-12-29,2026-04-02,11.093908,0.029553,COSO
"Réalisation d'un forage photo voltaïque pour eau de boisson, dans le quartier des réfugiés (Pigniéka)",Forages photovoltaïques dans les communautés pour eau de boisson,Réception technique 100.0%,100.0,3050.0,Savanes,Oti-Sud,Oti-Sud 2,Kountoire,2026-01-26,2026-05-15,10.165172,0.729873,COSO
Réalisation d'un forage photovoltaique pour eau de boisson,Forages photovoltaïques dans les communautés pour eau de boisson,Réception technique 100.0%,100.0,599.0,Savanes,Oti-Sud,Oti-Sud 2,Kountoire,2026-01-13,2026-05-14,10.178085,0.612965,COSO
Construction d'un bâtiment  du JEP de deux classes plus clôture sans forage,Forages photovoltaïques dans les établissements scolaires,Réception technique 100.0%,,,Savanes,Oti-Sud,Oti-Sud 1,Sagbiebou,2026-01-26,2026-03-24,10.263224,0.578949,COSO
