title,type,status,progress_percent,population,region,prefecture,commune,canton,launch_date,work_completion_date,source
Réalisation d'un forage photovoltaïque,Forages photovoltaïques dans les communautés pour eau de boisson,Réception définitive 100.0%,100.0,10152.0,Savanes,Cinkassé,Cinkassé 1,Boadé,2023-03-22,2023-08-23,COSO
Réalisation d'un forage photovoltaïque,Forages photovoltaïques dans les communautés pour eau de boisson,Réception définitive 100.0%,100.0,1682.0,Savanes,Cinkassé,Cinkassé 1,Boadé,2023-03-22,2023-08-23,COSO
Réalisation d'un forage photovoltaïque,Forages photovoltaïques dans les communautés pour eau de boisson,Remise de l'ouvrage à la communauté 100.0%,100.0,854.0,Savanes,Cinkassé,Cinkassé 1,Boadé,2023-03-22,2023-05-19,COSO
Réalisation d'un forage photovoltaïque maraicher,Forages photovoltaïques pour les activités maraîchères,Réception définitive 100.0%,100.0,650.0,Savanes,Cinkassé,Cinkassé 1,Boadé,2023-03-16,2023-04-18,COSO
Construction d'un centre communautaire avec charpente métallique + forage photovoltaïque à GNOAGA CENTRE,Forage Photovoltaïque (Centre communautaire),Réception définitive 100.0%,100.0,593.0,Savanes,Cinkassé,Cinkassé 1,Boadé,2023-03-22,2023-08-30,COSO
Réalisation d'un forage photovoltaïque maraicher,Forages photovoltaïques pour les activités maraîchères,Réception définitive 100.0%,100.0,271.0,Savanes,Cinkassé,Cinkassé 1,Noaga,2023-01-30,2023-03-09,COSO
Réalisation d'un forage photovoltaïque,Forages photovoltaïques dans les communautés pour eau de boisson,Réception définitive 100.0%,100.0,460.0,Savanes,Cinkassé,Cinkassé 1,Gouloungoussi,2023-01-30,2023-03-09,COSO
Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Réception définitive 100.0%,100.0,900.0,Savanes,Cinkassé,Cinkassé 1,Gouloungoussi,2023-03-22,2023-09-14,COSO
Construction d'un centre communautaire avec charpente métallique + forage photovoltaïque à KOULTAMSÉ,Forage Photovoltaïque (Centre communautaire),Remise de l'ouvrage à la communauté 100.0%,100.0,654.0,Savanes,Cinkassé,Cinkassé 1,Gouloungoussi,2023-03-22,2023-08-04,COSO
Réalisation d'un forage photovoltaïque,Forages photovoltaïques dans les communautés pour eau de boisson,Remise de l'ouvrage à la communauté 100.0%,100.0,543.0,Savanes,Cinkassé,Cinkassé 1,Gouloungoussi,2023-01-30,2023-03-09,COSO
Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Réception définitive 100.0%,100.0,329.0,Savanes,Cinkassé,Cinkassé 1,Gouloungoussi,2023-04-05,2023-11-17,COSO
Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Réception définitive 100.0%,100.0,341.0,Savanes,Cinkassé,Cinkassé 1,Gouloungoussi,2023-03-22,2023-08-16,COSO
Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Réception définitive 100.0%,100.0,456.0,Savanes,Cinkassé,Cinkassé 1,Gouloungoussi,2023-04-05,2023-11-17,COSO
Réalisation d'un forage photovoltaïque  pour maraicher,Forages photovoltaïques pour les activités maraîchères,Réception définitive 100.0%,60.0,1254.0,Savanes,Cinkassé,Cinkassé 2,Nadjoundi,2023-07-04,2024-12-02,COSO
Construction d'un centre communautaire avec charpente métallique + dallot ,Forage Photovoltaïque (Centre communautaire),Réception définitive 100.0%,100.0,1894.0,Savanes,Cinkassé,Cinkassé 2,Nadjoundi,2023-06-26,2024-07-11,COSO
Construction d'un bâtiment scolaire de trois classes avec bureau et magasin à l'EPP Timangue,Forages photovoltaïques dans les établissements scolaires,Remise de l'ouvrage à la communauté 100.0%,100.0,1586.0,Savanes,Cinkassé,Cinkassé 2,Nadjoundi,2023-06-26,2024-11-28,COSO
Construction d'un bâtiment scolaire de trois classes avec bureau et magasin et deux blocs de latrines à l’EPP + forage photovoltaïque,Forages photovoltaïques dans les établissements scolaires,Remise de l'ouvrage à la communauté 100.0%,0.0,520.0,Savanes,Cinkassé,Cinkassé 2,Sam-Naba,2024-01-18,2024-04-03,COSO
Construction d'un centre communautaire avec charpente métallique + forage photovoltaïque à PIZOSKO,Forage Photovoltaïque (Centre communautaire),Réception définitive 100.0%,100.0,585.0,Savanes,Cinkassé,Cinkassé 2,Sam-Naba,2024-01-16,2024-04-03,COSO
Réalisation d'un forage photovoltaïque pour maraîchage,Forages photovoltaïques pour les activités maraîchères,Remise de l'ouvrage à la communauté 100.0%,100.0,372.0,Savanes,Cinkassé,Cinkassé 2,Sam-Naba,2024-01-19,2024-04-03,COSO
Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Remise de l'ouvrage à la communauté 100.0%,100.0,995.0,Savanes,Cinkassé,Cinkassé 2,Timbou,2023-03-10,2023-11-23,COSO
Construction d'un Bâtiment scolaire de 3 classes avec bureau et magasin + 2 Blocs de Latrines à l'EPP + forage photovoltaïque,Forages photovoltaïques dans les communautés pour eau de boisson,Réception provisoire 100.0%,0.0,455.0,Savanes,Cinkassé,Cinkassé 2,Timbou,2025-11-12,2026-02-17,COSO
Réalisation d'un forage photovoltaïque pour eau de boisson,Forages photovoltaïques dans les communautés pour eau de boisson,Remise de l'ouvrage à la communauté 100.0%,100.0,941.0,Savanes,Cinkassé,Cinkassé 2,Timbou,2023-03-22,2023-08-16,COSO
Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Remise de l'ouvrage à la communauté 100.0%,100.0,480.0,Savanes,Cinkassé,Cinkassé 2,Timbou,2023-03-22,2023-09-14,COSO
"Construction et équipement d'un Bâtiment scolaire de 4 classes avec bureau et magasin, charpente métallique + 2 Blocs de latrines et Forage photovoltaïque  au CEG",Forages photovoltaïques dans les établissements scolaires,Réception définitive 100.0%,100.0,461.0,Savanes,Cinkassé,Cinkassé 2,Timbou,2023-04-03,2023-08-22,COSO
Réalisation d'un forage photovoltaïque,Forages photovoltaïques dans les communautés pour eau de boisson,Remise de l'ouvrage à la communauté 100.0%,100.0,2000.0,Savanes,Cinkassé,Cinkassé 2,Timbou,2023-03-22,2023-12-27,COSO
Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Remise de l'ouvrage à la communauté 100.0%,100.0,690.0,Savanes,Cinkassé,Cinkassé 2,Biankouri,2023-03-22,2023-08-17,COSO
Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Remise de l'ouvrage à la communauté 100.0%,100.0,385.0,Savanes,Cinkassé,Cinkassé 2,Timbou,2023-03-22,2023-08-07,COSO
Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Remise de l'ouvrage à la communauté 100.0%,100.0,1068.0,Savanes,Cinkassé,Cinkassé 2,Timbou,2023-03-22,2023-08-07,COSO
Construction d'un Bâtiment scolaire de 3 classes avec bureau et magasin + 2 Blocs de Latrines +forage à l'EPP,Forages photovoltaïques dans les établissements scolaires,Réception définitive 100.0%,100.0,591.0,Savanes,Cinkassé,Cinkassé 2,Timbou,2023-03-22,2023-08-07,COSO
Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Remise de l'ouvrage à la communauté 100.0%,100.0,1361.0,Savanes,Cinkassé,Cinkassé 2,Timbou,2023-04-06,2023-08-23,COSO
Réalisation d'un forage photovoltaïque,Forages photovoltaïques dans les communautés pour eau de boisson,Remise de l'ouvrage à la communauté 100.0%,100.0,689.0,Savanes,Cinkassé,Cinkassé 2,Timbou,2023-03-22,2023-08-24,COSO
Réalisation d'un forage photovoltaïque pour eau de boisson,Forages photovoltaïques dans les communautés pour eau de boisson,Remise de l'ouvrage à la communauté 100.0%,100.0,778.0,Savanes,Cinkassé,Cinkassé 2,Timbou,2023-06-27,2023-12-27,COSO
Réalisation d'un forage photovoltaïque,Forages photovoltaïques dans les communautés pour eau de boisson,Remise de l'ouvrage à la communauté 100.0%,100.0,5.0,Savanes,Cinkassé,Cinkassé 2,Timbou,2023-03-16,2023-05-19,COSO
Réalisation d'un forage photovoltaïque,Forages photovoltaïques dans les communautés pour eau de boisson,Remise de l'ouvrage à la communauté 100.0%,100.0,872.0,Savanes,Cinkassé,Cinkassé 2,Timbou,2023-03-16,2023-05-19,COSO
Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Remise de l'ouvrage à la communauté 100.0%,100.0,626.0,Savanes,Cinkassé,Cinkassé 2,Timbou,2023-03-30,2023-08-17,COSO
Construction d'un bâtiment scolaire de trois classes + bureau et magasin + forage photovoltaïque à EPP Tomole,Forages photovoltaïques dans les établissements scolaires,Réception provisoire 100.0%,0.0,411.0,Savanes,Kpendjal,Kpendjal 1,Koundjoaré,2025-03-20,2025-08-14,COSO
Construction d’un centre communautaire à Mandouri Centre + forage photovoltaïque,Forage Photovoltaïque (Centre communautaire),Réception définitive 100.0%,0.0,6700.0,Savanes,Kpendjal,Kpendjal 1,Mandouri,2024-01-23,2024-06-19,COSO
Construction et équipement d’un Centre Communautaire à Papri centre + forage photovoltaïque,Forage Photovoltaïque (Centre communautaire),Remise de l'ouvrage à la communauté 100.0%,100.0,1813.0,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 2,Papri,2024-01-18,2024-04-03,COSO
Construction et équipement d’un Centre Communautaire à Pogno-centre + forage photovoltaïque,Forage Photovoltaïque (Centre communautaire),Remise de l'ouvrage à la communauté 100.0%,100.0,4453.0,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 2,Pogno,2024-02-10,2024-04-13,COSO
Electrification (installation des lampadaires solaires,Forages photovoltaïques dans les communautés pour eau de boisson,Réception provisoire 100.0%,0.0,186.0,Savanes,Tône,Tône 1,Kourientre,2025-02-25,2025-05-23,COSO
Construction d'un Bâtiment scolaire de 3 salles de classe avec bureau et magasin clôturé plus deux blocs de latrine,Forages photovoltaïques dans les établissements scolaires,Réception définitive 100.0%,60.0,467.0,Savanes,Tône,Tône 4,Korbongou,2024-10-02,2024-11-20,COSO
Construction et équipement d'un bâtiment scolaire de 03 classes avec un bureau- magasin + 2 blocs de latrines + forages photovoltaïques à EPP Djapiebagou,Forages photovoltaïques dans les communautés pour eau de boisson,Réception provisoire 100.0%,0.0,380.0,Savanes,Tône,Tône 4,Korbongou,2025-03-06,2025-06-23,COSO
Construction d'un centre communautaire à NALI ANGOH,Forage Photovoltaïque (Centre communautaire),Remise de l'ouvrage à la communauté 100.0%,100.0,942.0,Savanes,Oti-Sud,Oti-Sud 2,Nali,2024-06-06,2024-09-24,COSO
"Construction d'un bâtiment scolaire de 03 salles de classes, un bureau- magasin équipement en table banc et mobilier de bureau avec forage",Forages photovoltaïques dans les établissements scolaires,Réception provisoire 100.0%,0.0,1900.0,Savanes,Oti-Sud,Oti-Sud 1,Tchamonga,2024-12-20,2025-04-05,COSO
Construction d'un centre communautaire à TCHAMONGA CENTRE,Forage Photovoltaïque (Centre communautaire),Réception définitive 100.0%,100.0,2156.0,Savanes,Oti-Sud,Oti-Sud 1,Tchamonga,2024-06-05,2025-02-07,COSO
Installation d'un forage photovoltaïque pour le maraichage,Forages photovoltaïques pour les activités maraîchères,Réception définitive 100.0%,0.0,814.0,Savanes,Oti-Sud,Oti-Sud 1,Tchamonga,2024-06-05,2025-01-21,COSO
Installation d'un forage photovoltaïque pour le maraichage,Forages photovoltaïques pour les activités maraîchères,Remise de l'ouvrage à la communauté 100.0%,100.0,628.0,Savanes,Oti-Sud,Oti-Sud 1,Tchamonga,2024-06-05,2024-12-30,COSO
Installation d'un forage photovoltaïque pour le maraichage,Forages photovoltaïques pour les activités maraîchères,Remise de l'ouvrage à la communauté 100.0%,100.0,498.0,Savanes,Oti-Sud,Oti-Sud 1,Tchamonga,2024-06-05,2025-01-22,COSO
Installation d'un forage photovoltaïque pour le maraichage,Forages photovoltaïques pour les activités maraîchères,Remise de l'ouvrage à la communauté 100.0%,100.0,2168.0,Savanes,Oti-Sud,Oti-Sud 1,Tchamonga,2024-05-30,2024-12-30,COSO
Installation d'un forage photovoltaïque pour le maraichage,Forages photovoltaïques pour les activités maraîchères,Réception provisoire 100.0%,0.0,1340.0,Savanes,Oti-Sud,Oti-Sud 1,Tchamonga,2024-06-05,2025-01-21,COSO
1-Construction d'un bâtiment scolaire de 3 classes avec bureau et latrines  à l'EPP Nakpabak B (lieu-dit Sibiogue): sous projet porté par le CVD DE Sibiogue et soutenu par le CVD de Pokenyète,Forages photovoltaïques dans les établissements scolaires,Réception définitive 100.0%,0.0,600.0,Savanes,Tandjoaré,Tandjoaré 2,Sissiak,2024-05-31,2024-08-26,COSO
"construction et équipement d'un batiment scolaire de 4 classes avec bureau, latrines et forage au CEG Kpinkparbagou",Forages photovoltaïques dans les établissements scolaires,Réception définitive 100.0%,0.0,1191.0,Savanes,Tandjoaré,Tandjoaré 2,Tampialime,2024-05-31,2024-09-23,COSO
Construction d'un centre communautaire à Babona,Forage Photovoltaïque (Centre communautaire),Réception définitive 100.0%,0.0,1846.0,Savanes,Tandjoaré,Tandjoaré 2,Tampialime,2024-06-03,2024-08-26,COSO
Construction d'une forage photovoltaïque pour le marâichage et équipements maraîchers,Forages photovoltaïques pour les activités maraîchères,Réception provisoire 100.0%,0.0,1300.0,Savanes,Tône,Tône 3,Lotogou,2024-05-20,2024-10-10,COSO
Appui à la réalisation d'un forage photovoltaïque pour maraîchage,Forages photovoltaïques pour les activités maraîchères,Réception définitive 100.0%,0.0,259.0,Savanes,Tandjoaré,Tandjoaré 2,Tampialime,2024-05-25,2024-08-26,COSO
Appui à la réalisation d'un forage photovoltaïque pour maraîchage,Forages photovoltaïques pour les activités maraîchères,Réception définitive 100.0%,0.0,926.0,Savanes,Tandjoaré,Tandjoaré 2,Sissiak,2024-05-20,2024-11-01,COSO
Appui à la réalisation d'un forage photovoltaïque équipé d'un système de pompage pour maraîchage et l'abreuvement des animaux,Forages photovoltaïques pour les activités maraîchères,Réception définitive 100.0%,0.0,735.0,Savanes,Tandjoaré,Tandjoaré 2,Tampialime,2024-06-03,2024-08-26,COSO
Contruction de Batiment scolaire de 3 classes équipées+ bureau+mangasin +forage à EPP Magna,Forages photovoltaïques dans les établissements scolaires,Réception provisoire 100.0%,0.0,1338.0,Savanes,Oti,Oti 1,Mango,2024-06-03,2024-09-25,COSO
Contruction de Batiment scolaire de 3 classes équipées+ bureau+mangasin +forage à EPP Fomboro,Forages photovoltaïques dans les établissements scolaires,Réception technique 100.0%,0.0,3678.0,Savanes,Oti,Oti 1,Mango,2024-06-03,2024-10-02,COSO
Contruction de Batiment scolaire de 3 classes équipées+ bureau+mangasin +forage à EPP DOUANE EST,Forages photovoltaïques dans les établissements scolaires,Réception provisoire 100.0%,0.0,3221.0,Savanes,Oti,Oti 1,Mango,2024-06-13,2024-10-03,COSO
Contruction de Batiment scolaire de 3 classes équipées+ bureau+mangasin +forage à EPP Bendenou,Forages photovoltaïques dans les établissements scolaires,Réception provisoire 100.0%,0.0,2600.0,Savanes,Oti,Oti 1,Mango,2024-06-03,2024-11-12,COSO
Contruction de Batiment scolaire pour le jardin d'enfants de 2 classes équipées+ bureau+Forage à EPP Bonzoukou,Forages photovoltaïques dans les établissements scolaires,Réception provisoire 100.0%,0.0,795.0,Savanes,Oti,Oti 1,Mango,2024-11-10,2025-03-12,COSO
Réalisation d'un forage photovoltaïque pour eau de boisson,Forages photovoltaïques dans les communautés pour eau de boisson,Réception provisoire 100.0%,0.0,437.0,Savanes,Oti,Oti 1,Mango,2025-07-22,2026-04-01,COSO
Construction de salle de réunion,Forage Photovoltaïque (Salle de réunion),Réception technique 100.0%,0.0,666.0,Savanes,Oti,Oti 1,Mango,2024-05-17,2025-01-17,COSO
Construction d'un centre communautaire à NAKORKOU,Forage Photovoltaïque (Centre communautaire),Réception provisoire 100.0%,0.0,780.0,Savanes,Oti,Oti 1,Mango,2025-03-03,2026-02-11,COSO
Construction d'un batiment scolaire de 3 salles de classe+ bureau+Forage+Bloc sanitaire à l'EPP Gnabadjoani 2,Forages photovoltaïques dans les établissements scolaires,Réception provisoire 100.0%,0.0,1673.0,Savanes,Tône,Tône 2,Naki-Ouest,2024-05-20,2024-10-22,COSO
Réalisation d'un forage maraicher dans le bas-fond de Yobre 1 ,Forages photovoltaïques pour les activités maraîchères,Réception définitive 100.0%,0.0,1497.0,Savanes,Tône,Tône 2,Naki-Ouest,2024-06-24,2024-08-18,COSO
Construction et équipement d'un centre communautaire,Forage Photovoltaïque (Centre communautaire),Réception définitive 100.0%,0.0,900.0,Savanes,Cinkassé,Cinkassé 2,Biankouri,2024-06-06,2024-10-03,COSO
Réalisation d'un forage photovoltaique pour le maraichage,Forages photovoltaïques pour les activités maraîchères,Remise de l'ouvrage à la communauté 100.0%,100.0,288.0,Savanes,Cinkassé,Cinkassé 2,Biankouri,2024-05-24,2024-08-18,COSO
Réalisation d'un forage photovoltaique pour le maraichage,Forages photovoltaïques pour les activités maraîchères,Réception provisoire 100.0%,0.0,98.0,Savanes,Cinkassé,Cinkassé 2,Biankouri,2024-05-25,2024-10-03,COSO
Construction d'un batiment scolaire de 3 classes avec forage à l'EPP,Forages photovoltaïques dans les établissements scolaires,Réception définitive 100.0%,0.0,644.0,Savanes,Oti-Sud,Oti-Sud 2,Takpamba,2024-05-22,2024-09-24,COSO
Réalisation d'un forage photovoltaique pour le maraichage,Forages photovoltaïques pour les activités maraîchères,Réception provisoire 100.0%,0.0,133.0,Savanes,Oti-Sud,Oti-Sud 2,Takpamba,2024-06-09,2025-04-18,COSO
Réalisation du forage photovoltaique pour le maraichage,Forages photovoltaïques pour les activités maraîchères,Réception définitive 100.0%,0.0,56.0,Savanes,Oti-Sud,Oti-Sud 2,Takpamba,2024-06-02,2024-08-06,COSO
Réalisation du forage photovoltaique pour le maraichage,Forages photovoltaïques pour les activités maraîchères,Réception provisoire 100.0%,0.0,235.0,Kara,Dankpen,Dankpen 1,Naompoch,2024-05-21,2024-10-03,COSO
Réalisation du forage photovoltaique pour le maraichage,Forages photovoltaïques pour les activités maraîchères,Réception définitive 100.0%,0.0,582.0,Savanes,Oti-Sud,Oti-Sud 2,Takpamba,2024-05-21,2024-09-04,COSO
Réalisation d'un forage photovoltaïque pour maraîchage,Forages photovoltaïques pour les activités maraîchères,Achevé 100.0%,100.0,1001.0,Savanes,Tône,Tône 3,Tami,,2026-05-29,COSO
Réalisation de forage photovoltaïque pour le  JEP de Nakpanag,Forages photovoltaïques dans les établissements scolaires,Réception provisoire 100.0%,0.0,469.0,Savanes,Tône,Tône 3,Tami,2025-10-10,2026-02-15,COSO
Réalisation d'un forage photovoltaïque pour maraîchage,Forages photovoltaïques pour les activités maraîchères,Réception provisoire 100.0%,0.0,1340.0,Savanes,Tône,Tône 3,Tami,2025-01-05,2025-04-30,COSO
Construction d'un bâtiment scolaire avec bureau et magasin sans latrines avec équipement pour le JEP de l'EPP Nagueyiegou avec FORAGE,Forages photovoltaïques dans les établissements scolaires,Réception provisoire 100.0%,0.0,1204.0,Savanes,Tône,Tône 3,Tami,,2025-10-31,COSO
Construction et équipement d'un centre communautaire ,Forage Photovoltaïque (Centre communautaire),Réception provisoire 100.0%,0.0,3722.0,Savanes,Tône,Tône 3,Lotogou,2024-11-17,2025-04-01,COSO
Réalisation d'un forage photovoltaïque maraicher ,Forages photovoltaïques pour les activités maraîchères,Réception provisoire 100.0%,0.0,414.0,Savanes,Tône,Tône 3,Lotogou,2025-04-18,2025-07-25,COSO
Construction et équipement d'un bâtiment scolaire de trois classes et réalisation d'un forage  Photovoltaïque ,Forages photovoltaïques dans les établissements scolaires,Réception définitive 100.0%,100.0,386.0,Savanes,Tône,Tône 3,Lotogou,2025-04-21,2025-05-22,COSO
Réalisation d'un forage photovoltaïque maraicher ,Forages photovoltaïques pour les activités maraîchères,Réception provisoire 100.0%,0.0,185.0,Savanes,Tône,Tône 3,Lotogou,2025-08-07,2025-12-31,COSO
"Construction et équipement d'un bâtiment scolaire de trois classes, bloc latrine et forage photovoltaïque ",Forages photovoltaïques dans les établissements scolaires,Réception provisoire 100.0%,0.0,810.0,Savanes,Tône,Tône 3,Lotogou,2025-04-02,2025-11-15,COSO
Construction d'un bâtiment scolaire de 3 salles de classes+Bureau+magasin+Forage+Latrines à l'EPP de Djabiène,Forages photovoltaïques dans les établissements scolaires,Réception provisoire 100.0%,0.0,540.0,Savanes,Tandjoaré,Tandjoaré 1,Tamongue,2024-12-19,2025-02-13,COSO
Construction d'un bâtiment scolaire de 3 salles de classe+forage+bloc sanitaire à l'EPP Koundoungou,Forages photovoltaïques dans les établissements scolaires,Réception provisoire 100.0%,0.0,2041.0,Savanes,Tandjoaré,Tandjoaré 1,Tamongue,2024-12-29,2025-04-30,COSO
